Word,Count
the,264
of,156
to,135
and,108
in,100
is,51
that,44
with,38
from,34
it,34
as,32
on,28
for,26
be,26
are,26
have,23
their,21
more,20
was,18
an,18
this,17
they,17
some,16
by,16
you,16
can,16
digital,16
about,15
information,15
which,14
research,14
text,13
he,13
your,13
at,13
but,12
into,12
part,12
we,12
science,12
may,11
streaming,11
points,10
years,10
has,10
pupils,10
scientists,10
butterfly,10
use,9
or,9
were,9
had,9
writing,9
these,9
piracy,9
following,8
answer,8
when,8
shakespeare,8
if,8
work,8
not,8
such,8
what,8
our,8
who,8
illegal,8
butterflies,8
off,7
how,7
words,7
paragraph,7
world,7
its,7
will,7
online,7
up,7
there,7
preservation,7
historical,7
so,7
peters,7
section,6
directions,6
sheet,6
around,6
sea,6
data,6
would,6
emotional,6
study,6
been,6
target,6
write,6
time,6
do,6
old,6
according,6
new,6
need,6
energy,6
great,6
author,6
services,6
says,6
artifacts,6
because,6
even,6
one,6
my,6
public,6
citizen,6
pavlopetri,5
rise,5
recent,5
decades,5
change,5
scientific,5
two,5
made,5
after,5
children's,5
out,5
well,5
way,5
children,5
also,5
said,5
control,5
example,5
ways,5
people,5
against,5
researchers,5
own,5
legitimate,5
no,5
us,5
librarians,5
less,5
them,5
read,4
best,4
site,4
caused,4
than,4
bring,4
employed,4
parta,4
literacy,4
only,4
think,4
themselves,4
rsc,4
primary,4
groups,4
group,4
used,4
while,4
put,4
process,4
through,4
different,4
any,4
find,4
expanding,4
works,4
other,4
carbon,4
energyintensive,4
long,4
global,4
hollywood,4
show,4
billion,4
mpa,4
working,4
thousands,4
help,4
become,4
still,4
tangible,4
formats,4
analog,4
libraries,4
access,4
possible,4
technology,4
phenomenon,4
likely,4
means,4
should,4
insects,4
take,4
frames,4
species,4
many,4
takes,4
making,4
institutions,4
traditional,4
ownership,4
each,3
mark,3
modern,3
ago,3
island,3
natural,3
few,3
buildings,3
since,3
advances,3
all,3
resources,3
despite,3
besides,3
techniques,3
reading,3
answers,3
showed,3
does,3
act,3
rehearsal,3
approach,3
vocabulary,3
shows,3
makes,3
big,3
language,3
o'hanlon,3
given,3
sophisticated,3
emotion,3
picture,3
she,3
understanding,3
education,3
could,3
compared,3
life,3
develop,3
small,3
identifying,3
drawing,3
nature,3
dramatists,3
emissions,3
here,3
make,3
sustainable,3
now,3
hard,3
day,3
just,3
power,3
established,3
projects,3
value,3
explore,3
game,3
losing,3
pirates,3
video,3
platforms,3
filesharing,3
innovation,3
five,3
enforcement,3
task,3
force,3
it's,3
support,3
serious,3
like,3
creators,3
collaborate,3
future,3
economic,3
past,3
yet,3
objects,3
re,3
ve,3
record,3
quickly,3
obsolete,3
get,3
without,3
issue,3
collection,3
subject,3
done,3
keeping,3
challenge,3
form,3
shots,3
wild,3
capture,3
cancer,3
really,3
takeoff,3
focus,3
field,3
seen,3
engagement,3
general,3
directly,3
anyone,3
formal,3
enthusiasm,3
variety,3
analysis,3
setting,3
email,3
paul,3
li,3
ming,3
craftsmen,3
goods,3
trend,3
english,2
choose,2
numbered,2
peloponnesian,2
name,2
area,2
city,2
slow,2
millennia,2
below,2
climate,2
survey,2
british,2
first,2
year,2
later,2
team,2
courtyards,2
chamber,2
before,2
archaeologists,2
cooperation,2
underwater,2
tools,2
able,2
town,2
three,2
large,2
number,2
trade,2
center,2
prone,2
available,2
gradually,2
submerged,2
isolated,2
remains,2
surroundings,2
across,2
under,2
currents,2
protected,2
gathering,2
once,2
products,2
structures,2
preserve,2
display,2
examining,2
unlike,2
among,2
unorganized,2
undisturbed,2
resumed,2
light,2
mind,2
connected,2
suggesting,2
robust,2
ii,2
comprehension,2
questions,2
him,2
found,2
teaching,2
actors,2
activity,2
passage,2
results,2
wider,2
